1,0001-01-01 00:00:00,0,0001-01-01 00:00:00,0001-01-01 00:00:00,0,0,1
2,0001-01-01 00:00:00,0,0001-01-01 00:00:00,0001-01-01 00:00:00,0,0,2
3,0001-01-01 00:00:00,0,0001-01-01 00:00:00,0001-01-01 00:00:00,0,0,3
5,0001-01-01 00:00:00,0,0001-01-01 00:00:00,0001-01-01 00:00:00,0,0,5
6,0001-01-01 00:00:00,0,0001-01-01 00:00:00,0001-01-01 00:00:00,0,0,6
7,0001-01-01 00:00:00,0,0001-01-01 00:00:00,0001-01-01 00:00:00,0,0,7
8,0001-01-01 00:00:00,0,0001-01-01 00:00:00,0001-01-01 00:00:00,0,0,8
9,0001-01-01 00:00:00,0,0001-01-01 00:00:00,0001-01-01 00:00:00,0,0,9
10,0001-01-01 00:00:00,0,0001-01-01 00:00:00,0001-01-01 00:00:00,0,0,10
11,0001-01-01 00:00:00,0,0001-01-01 00:00:00,0001-01-01 00:00:00,0,0,11
13,0001-01-01 00:00:00,0,0001-01-01 00:00:00,0001-01-01 00:00:00,0,0,13
14,0001-01-01 00:00:00,0,0001-01-01 00:00:00,0001-01-01 00:00:00,0,0,14
15,0001-01-01 00:00:00,0,0001-01-01 00:00:00,0001-01-01 00:00:00,0,0,15
16,0001-01-01 00:00:00,0,0001-01-01 00:00:00,0001-01-01 00:00:00,0,0,16
17,0001-01-01 00:00:00,0,0001-01-01 00:00:00,0001-01-01 00:00:00,0,0,17
18,0001-01-01 00:00:00,0,0001-01-01 00:00:00,0001-01-01 00:00:00,0,0,18
19,0001-01-01 00:00:00,0,0001-01-01 00:00:00,0001-01-01 00:00:00,0,0,19
20,0001-01-01 00:00:00,0,0001-01-01 00:00:00,0001-01-01 00:00:00,0,0,20
21,0001-01-01 00:00:00,0,0001-01-01 00:00:00,0001-01-01 00:00:00,0,0,21
